agent_id,branch,role,active
AG00001,MAN-02,agent,True
AG00002,MAN-02,supervisor,True
AG00003,MAN-01,senior_agent,True
AG00004,RIF-01,agent,True
AG00005,MAN-02,senior_agent,True
AG00006,RIF-01,supervisor,True
AG00007,SHB-01,supervisor,True
AG00008,MAN-01,supervisor,False
AG00009,MAN-02,senior_agent,True
AG00010,SHB-01,senior_agent,True
AG00011,MAN-01,senior_agent,True
AG00012,RIF-01,supervisor,True
AG00013,RIF-01,supervisor,True
AG00014,RIF-01,supervisor,False
AG00015,RIF-01,agent,True
AG00016,SHB-01,senior_agent,False
AG00017,MAN-02,agent,True
AG00018,RIF-01,supervisor,True
AG00019,SHB-01,supervisor,True
AG00020,MAN-02,agent,True
AG00021,SHB-01,agent,True
AG00022,SHB-01,supervisor,True
AG00023,SHB-01,supervisor,True
AG00024,SHB-01,senior_agent,True
AG00025,SHB-01,agent,False
