agent_id,branch,role,active
AG00001,CCU-01,senior_agent,True
AG00002,CCU-02,senior_agent,False
AG00003,CCU-01,supervisor,True
AG00004,CCU-02,agent,False
AG00005,CCU-02,agent,False
AG00006,CCU-02,senior_agent,True
AG00007,CCU-01,supervisor,True
AG00008,CCU-02,supervisor,True
AG00009,CCU-02,supervisor,False
AG00010,CCU-02,agent,False
AG00011,CCU-02,senior_agent,True
AG00012,CCU-02,agent,True
AG00013,CCU-01,agent,False
AG00014,CCU-02,senior_agent,False
AG00015,CCU-01,agent,True
AG00016,CCU-01,agent,True
AG00017,CCU-02,supervisor,True
AG00018,CCU-02,supervisor,False
AG00019,CCU-02,supervisor,True
AG00020,CCU-01,agent,True
AG00021,CCU-02,senior_agent,True
AG00022,CCU-02,agent,True
AG00023,CCU-02,supervisor,True
AG00024,CCU-02,agent,True
AG00025,CCU-01,senior_agent,False
