event_id,case_id,event_type,occurred_at,agent_id,note
E_beta0000100,T00001,created,2026-02-18T09:41:30Z,AG00019,
E_beta0000101,T00001,assigned,2026-02-19T04:23:25.768327Z,AG00016,
E_beta0000102,T00001,customer_reply,2026-02-19T07:34:16.391974Z,AG00001,
E_beta0000103,T00001,agent_note,2026-02-19T17:22:06.211099Z,AG00018,
E_beta0000104,T00001,status_change,2026-02-20T17:57:58.792141Z,AG00005,
E_beta0000200,T00002,created,2026-03-27T23:37:32Z,AG00009,
E_beta0000201,T00002,assigned,2026-03-28T04:16:49.283944Z,AG00023,
E_beta0000202,T00002,customer_reply,2026-03-28T11:24:03.277333Z,AG00016,
E_beta0000300,T00003,created,2026-03-25T00:12:19Z,AG00001,
E_beta0000301,T00003,assigned,2026-03-25T23:42:25.765793Z,AG00005,
E_beta0000302,T00003,customer_reply,2026-03-26T12:11:58.927086Z,AG00009,
E_beta0000400,T00004,created,2026-03-12T17:39:12Z,AG00005,
E_beta0000401,T00004,assigned,2026-03-14T07:53:26.136858Z,AG00015,
E_beta0000500,T00005,created,2026-02-18T08:05:36Z,AG00019,
E_beta0000501,T00005,assigned,2026-02-20T04:53:40.686658Z,AG00024,
E_beta0000600,T00006,created,2026-02-09T16:07:33Z,AG00017,
E_beta0000601,T00006,assigned,2026-02-09T22:06:48.537797Z,AG00017,
E_beta0000700,T00007,created,2026-03-30T15:05:00Z,AG00020,
E_beta0000701,T00007,assigned,2026-03-31T17:52:49.077951Z,AG00021,
E_beta0000702,T00007,customer_reply,2026-04-01T10:34:00.127874Z,AG00021,
E_beta0000703,T00007,agent_note,2026-03-31T04:01:44.636709Z,AG00023,
E_beta0000800,T00008,created,2026-03-15T13:17:46Z,AG00001,
E_beta0000801,T00008,assigned,2026-03-18T00:26:51.432794Z,AG00005,
E_beta0000802,T00008,customer_reply,2026-03-16T03:40:18.725909Z,AG00010,
E_beta0000803,T00008,agent_note,2026-03-15T20:54:24.213674Z,AG00015,
E_beta0000900,T00009,created,2026-01-13T11:05:18Z,AG00002,
E_beta0000901,T00009,assigned,2026-01-15T10:31:15.353377Z,AG00015,
E_beta0000902,T00009,customer_reply,2026-01-15T14:06:32.091605Z,AG00015,
E_beta0000903,T00009,agent_note,2026-01-14T03:24:48.301155Z,AG00006,
E_beta0001000,T00010,created,2026-01-09T21:36:28Z,AG00020,
E_beta0001001,T00010,assigned,2026-01-10T21:39:45.860253Z,AG00003,
E_beta0001002,T00010,customer_reply,2026-01-12T08:32:03.755049Z,AG00014,
E_beta0001003,T00010,agent_note,2026-01-10T14:17:19.165136Z,AG00018,
E_beta0001100,T00011,created,2026-01-21T11:01:49Z,AG00006,
E_beta0001101,T00011,assigned,2026-01-23T21:50:24.083067Z,AG00015,
E_beta0001102,T00011,customer_reply,2026-01-21T15:12:46.839020Z,AG00009,
E_beta0001103,T00011,agent_note,2026-01-23T15:38:30.825918Z,AG00009,
E_beta0001200,T00012,created,2026-03-25T03:21:43Z,AG00021,
E_beta0001201,T00012,assigned,2026-03-27T13:06:39.748628Z,AG00019,
E_beta0001202,T00012,customer_reply,2026-03-27T13:34:57.957251Z,AG00019,
E_beta0001203,T00012,agent_note,2026-03-26T09:31:51.331360Z,AG00013,
E_beta0001300,T00013,created,2026-01-13T21:38:17Z,AG00003,
E_beta0001301,T00013,assigned,2026-01-15T10:37:48.951729Z,AG00022,
E_beta0001302,T00013,customer_reply,2026-01-14T16:15:14.305197Z,AG00011,
E_beta0001303,T00013,agent_note,2026-01-15T06:01:19.738190Z,AG00023,
E_beta0001304,T00013,status_change,2026-01-14T12:21:57.490780Z,AG00003,
E_beta0001400,T00014,created,2026-03-21T09:21:53Z,AG00019,
E_beta0001401,T00014,assigned,2026-03-22T11:27:13.053635Z,AG00015,
E_beta0001402,T00014,customer_reply,2026-03-22T13:11:46.112207Z,AG00007,
E_beta0001403,T00014,agent_note,2026-03-23T16:02:25.714760Z,AG00016,
E_beta0001500,T00015,created,2026-01-17T15:38:03Z,AG00008,
E_beta0001501,T00015,assigned,2026-01-17T18:21:42.548552Z,AG00024,
E_beta0001600,T00016,created,2026-03-12T17:45:14Z,AG00015,
E_beta0001601,T00016,assigned,2026-03-13T23:33:52.764275Z,AG00013,
E_beta0001602,T00016,customer_reply,2026-03-12T19:34:54.501116Z,AG00014,
E_beta0001603,T00016,agent_note,2026-03-14T00:46:39.149935Z,AG00006,
E_beta0001604,T00016,status_change,2026-03-14T16:12:51.187413Z,AG00022,
E_beta0001700,T00017,created,2026-02-27T23:18:19Z,AG00019,
E_beta0001701,T00017,assigned,2026-02-28T02:03:55.469534Z,AG00014,
E_beta0001702,T00017,customer_reply,2026-03-01T12:53:58.696226Z,AG00013,
E_beta0001703,T00017,agent_note,2026-03-02T09:46:38.761703Z,AG00004,
E_beta0001704,T00017,status_change,2026-03-02T07:23:34.103952Z,AG00021,
E_beta0001800,T00018,created,2026-02-07T01:14:33Z,AG00006,
E_beta0001801,T00018,assigned,2026-02-07T07:34:12.657511Z,AG00011,
E_beta0001802,T00018,customer_reply,2026-02-07T12:47:44.403419Z,AG00013,
E_beta0001803,T00018,agent_note,2026-02-09T08:54:43.658459Z,AG00015,
E_beta0001900,T00019,created,2026-03-18T07:54:13Z,AG00002,
E_beta0001901,T00019,assigned,2026-03-20T13:36:28.696982Z,AG00008,
E_beta0001902,T00019,customer_reply,2026-03-18T22:36:49.710122Z,AG00002,
E_beta0002000,T00020,created,2026-01-17T05:47:03Z,AG00015,
E_beta0002001,T00020,assigned,2026-01-17T13:02:25.004253Z,AG00011,
E_beta0002002,T00020,customer_reply,2026-01-18T02:20:59.119229Z,AG00007,
E_beta0002003,T00020,agent_note,2026-01-17T09:36:58.708224Z,AG00004,
E_beta0002004,T00020,status_change,2026-01-18T09:19:54.781410Z,AG00011,
E_beta0002100,T00021,created,2026-03-11T21:44:18Z,AG00020,
E_beta0002101,T00021,assigned,2026-03-13T16:47:27.231248Z,AG00010,
E_beta0002102,T00021,customer_reply,2026-03-14T07:32:19.756086Z,AG00015,
E_beta0002200,T00022,created,2026-02-05T03:12:35Z,AG00015,
E_beta0002201,T00022,assigned,2026-02-05T12:40:34.302907Z,AG00013,
E_beta0002202,T00022,customer_reply,2026-02-07T14:41:39.604653Z,AG00014,
E_beta0002203,T00022,agent_note,2026-02-07T13:52:24.316904Z,AG00017,
E_beta0002300,T00023,created,2026-02-09T20:01:09Z,AG00001,
E_beta0002301,T00023,assigned,2026-02-11T03:46:24.778686Z,AG00013,
E_beta0002302,T00023,customer_reply,2026-02-11T22:31:08.013998Z,AG00013,
E_beta0002303,T00023,agent_note,2026-02-09T21:35:44.386957Z,AG00011,
E_beta0002400,T00024,created,2026-01-16T11:13:51Z,AG00022,
E_beta0002401,T00024,assigned,2026-01-18T13:37:39.985116Z,AG00004,
E_beta0002402,T00024,customer_reply,2026-01-17T06:20:26.404232Z,AG00003,
E_beta0002500,T00025,created,2026-02-22T07:43:48Z,AG00021,
E_beta0002501,T00025,assigned,2026-02-22T14:47:51.172625Z,AG00014,
E_beta0002600,T00026,created,2026-01-06T02:53:56Z,AG00021,
E_beta0002601,T00026,assigned,2026-01-06T08:17:16.783540Z,AG00007,
